ID,Continent,Catchment,longitude_sta,latitude,Client,Network,Station,Location,Component,SPS,Distance (km),Start-time,End-time
96,North_American,Mount_Joffre,-122.4488,50.3431,IRIS,CN,WSLR,empty,HHZ,50,41.4,2019-05-16T16:03:02,2019-05-16T16:06:06
97,North_American,Mount_Rainier,-121.81323,46.81934,IRIS,UW,RER,empty,EHZ,100,2.5,2015-08-13T16:30:00,2015-08-13T20:00:00
98,North_American,Mount_Rainier,-121.81,46.8191,IRIS,UW,RER,empty,EHZ,100,2.5,2019-08-06T01:30:00,2019-08-06T03:12:34
99,North_American,Mount_Rainier,-121.81,46.8191,IRIS,UW,RER,empty,EHZ,100,2.5,2019-09-27T00:43:20,2019-09-27T01:29:22
100,North_American,Mount_Shasta,-122.19732,41.39947,NCEDC,NC,LGB,02,EHZ,100,7.3,2014-09-20T20:49:18,2014-09-20T23:10:11
101,North_American,Mount_Shasta,-122.1855,41.3907,NCEDC,NC,LGY,01,HHZ,100,5.2,2021-06-27T21:00:00,2021-06-28T02:45:42
102,North_American,Mount_Shasta,-122.1883,41.3928,NCEDC,NC,LGY,01,HHZ,100,5.2,2021-07-01T21:25:00,2021-07-02T02:05:42
103,North_American,Mount_Shasta,-122.2115,41.4197,NCEDC,NC,LMP,empty,EHZ,100,8.9,2021-07-27T17:00:00,2021-07-28T02:59:15
104,North_American,Mount_Shasta,-122.1879,41.4091,NCEDC,NC,LMP,empty,EHZ,100,7.2,2021-07-30T16:43:15,2021-07-31T01:01:55
105,North_American,Mount_Shasta,-122.2059,41.4293,NCEDC,NC,LMP,empty,EHZ,100,8.9,2021-09-10T07:45:00,2021-09-10T14:45:00
106,North_American,Mount_Spurr,-152.16868,61.22594,IRIS,AV,CKN,empty,EHZ,100,0.9,2014-09-10T19:18:00,2014-09-10T20:05:05
107,North_American,Mount_Spurr,-152.1687,61.2259,IRIS,AV,CKN,empty,EHZ,100,0.9,2016-08-16T08:10:00,2016-08-16T08:36:49
108,North_American,Mount_Spurr,-152.1687,61.2259,IRIS,AV,CKN,empty,EHZ,100,0.9,2016-08-16T10:50:00,2016-08-16T11:08:22
109,North_American,Mount_St_Helens,-122.191,46.213,IRIS,CC,VALT,empty,BHZ,50,0.2,2014-10-22T13:07:00,2014-10-22T21:28:00
110,North_American,Mount_St_Helens,-122.21442,46.20508,IRIS,CC,VALT,empty,BHZ,50,0.2,2015-08-14T21:35:27,2015-08-14T22:11:56
111,North_American,Mount_St_Helens,-122.21442,46.20508,IRIS,CC,VALT,empty,BHZ,50,0.2,2015-09-17T23:27:00,2015-09-18T00:41:44
112,North_American,Oso,-121.85259,48.28631,IRIS,UW,JCW,empty,EHZ,100,11.5,2014-03-22T17:37:00,2014-03-22T17:40:39
113,North_American,Oso,-121.85026,48.2866,IRIS,UW,JCW,empty,EHZ,100,11.7,2014-03-22T17:40:00,2014-03-22T17:44:28
114,North_American,Oso,-121.85026,48.28663,IRIS,CC,OSO2,empty,EHZ,50,0.2,2014-04-25T22:41:01,2014-04-25T22:41:37
115,North_American,Redoubt,-152.76269,60.49044,IRIS,AV,RDW,empty,BHZ,50,3.7,2009-03-23T09:35:00,2009-03-23T11:43:33
116,North_American,Redoubt,-152.76269,60.49044,IRIS,AV,RDW,empty,BHZ,50,3.7,2009-03-23T12:27:00,2009-03-23T13:41:27
117,North_American,Redoubt,-152.76269,60.49044,IRIS,AV,RDW,empty,BHZ,50,3.7,2009-03-26T16:17:00,2009-03-26T17:00:00
118,North_American,Redoubt,-152.76269,60.49044,IRIS,AV,RDW,empty,BHZ,50,3.7,2009-03-26T17:20:00,2009-03-26T17:40:00
119,North_American,Redoubt,-152.76269,60.49044,IRIS,AV,RDW,empty,BHZ,50,3.7,2009-04-04T13:50:00,2009-04-04T15:49:58
120,North_American,Shishaldin,-163.9706,54.7566,IRIS,AV,SSLS,empty,BHZ,50,5.4,2019-10-29T00:15:00,2019-10-29T00:58:18
121,South_American,Villa_Santa,-72.43125,-43.3599,IRIS,C1,LL02,empty,HHZ,100,50.9,2017-12-16T12:02:13,2017-12-16T12:07:06
,,,,,,,,
